product_id,product_brand,product_name,product_sku,product_retail_price,product_cost,product_weight,recyclable,low_fat
1,EcoHarvest,EcoHarvest Extra Crunchy Lotion,E-00001-X,10.53,4.52,1.07,0,0
2,BluePeak,BluePeak Fresh Bread,B-00002-M,2.71,,0.83,1,0
3,crystal springs,Crystal Springs Jumbo Sausage,CS-00003-V,$10.13,5.75,1.38,1,0
4,Natures Best,Natures Best Organic Yogurt,NB-00004-N,3.56,2.39,1.53,1,0
5,Silver Creek,Silver Creek Reduced Fat Shampoo,SC-00005-Q,9.61,4.04,0.2,1,0
6,Crystal Springs,Crystal Springs Classic Trash Bags,CS-00006-W,6.59,4.26,3.17,1,no
7,TRUETASTE,TrueTaste Extra Crunchy Coffee,T-00007-R,7.1,3.38,0.65,1,No
8,Coastal Fresh,Coastal Fresh Family Size Crackers,CF-00008-V,2.83,1.96,0.68,False,0.0
9,Heritage Foods,Heritage Foods Original Shampoo,HF-00009-Y,4.64,2.28,1.17,0.0,0
10,TrueTaste,TrueTaste Classic Soda,T-00010-W,5.64,2.23,2.86,0,0
11,Natures Best,Natures Best Classic Lotion,NB-00011-J,$4.12,2.78,0.38,0,0
12,  Golden Valley  ,Golden Valley Original Trash Bags,GV-00012-J,$5.70,2.47,3.6,1,0
13,Farmhouse Select,Farmhouse Select Jumbo Waffles,FS-00013-X,7.26,2.61,0.87,0,0
14,Golden Valley,Golden Valley Mini Cream,GV-00014-N,5.8,2.73,,Y,0
15,EcoHarvest,EcoHarvest Fresh Ham,E-00015-Q,4.36,5.4,2.99,0,0
16,Prime Select,Prime Select Organic Sour Cream,PS-00016-Q,5.36,2.84,,1,1
17,Farmhouse Select,Farmhouse Select Deluxe Cheese,FS-00017-C,6.21,3.42,1.04,0,0
18,Meadowbrook,Meadowbrook Jumbo Shampoo,M-00018-N,11.86,7.23,0.63,0,N
19,Meadowbrook,Meadowbrook Extra Crunchy Pretzels,M-00019-T,1.74,0.87,0.96,0,False
20,Natures Best,Natures Best Extra Crunchy Juice,NB-00020-Q,7.8,3.64,1.01,1,0.0
21,EcoHarvest,EcoHarvest Classic Bananas,E-00021-E,3.44,1.34,1.7,False,0
22,Natures Best,Natures Best Classic Bacon,NB-00022-Y,7.19,4.1,1.3,1,1
23,American Classic,American Classic Extra Crunchy Donuts,AC-00023-T,4.42,1.72,1.26,1,0.0
24,Premium Choice,Premium Choice Gourmet Napkins,PC-00024-B,2.27,0.81,1.6,1,0
25,Hilltop Farms,Hilltop Farms Value Pack Lotion,HF-00025-L,8.49,3.46,0.22,no,False
26,Urban Pantry,Urban Pantry Original Tortilla Chips,UP-00026-V,3.8,,0.66,0,1
27,Prime Select,Prime Select Gourmet Onions,PS-00027-H,0.68,0.32,0.78,0,no
28,Urban Pantry,Urban Pantry Classic Shrimp,UP-00028-W,13.57,5.36,,1,0
29,Northern Mills,Northern Mills Deluxe Sausage,NM-00029-X,$8.48,3.25,2.51,1,0
30,Premium Choice,Premium Choice Extra Crunchy Paper Towels,PC-00030-W,10.04,4.08,2.88,1,0
31,Meadowbrook,Meadowbrook Low Sodium Butter,M-00031-P,3.09,1.35,1.81,Yes,False
32,Wholesome Co,Wholesome Co Low Sodium Cheese,WC-00032-V,3.07,1.47,0.93,1.0,1
33,BluePeak,BluePeak Original Laundry Detergent,B-00033-F,8.77,4.85,1.05,1,0
34,Prime Select,Prime Select Reduced Fat Waffles,PS-00034-D,2.57,1.71,1.47,0,0
35,Sunrise Organics,Sunrise Organics Organic Dish Soap,SO-00035-R,9.96,4.79,1.11,N,0
36,Prime Select,Prime Select Traditional Waffles,PS-00036-R,4.6,1.71,2.47,1,1
37,Pure Origins,Pure Origins Value Pack Waffles,PO-00037-L,8.28,3.26,2.56,N,0
38,Family Choice,Family Choice Lite Cod,FC-00038-V,13.33,6.51,0.87,False,False
39,Pure Origins,Pure Origins Classic Ham,PO-00039-I,$7.00,3.38,0.89,1,N
40,Hilltop Farms,Hilltop Farms Original Aluminum Foil,HF-00040-S,5.43,3.48,2.04,,0
41,Crystal Springs,Crystal Springs Gourmet Donuts,cs-00041-g,2.09,1.25,1.4,1,N
42,BluePeak,BluePeak Lite Cream,B-00042-D,1.97,1.09,2.0,,1
43,Family Choice,Family Choice Traditional Frozen Pizza,FC-00043-K,2.47,1.27,1.49,yes,0
44,Meadowbrook,Meadowbrook Organic Cookies,M-00044-Z,4.61,3.09,0.52,Yes,1.0
45,TrueTaste,TrueTaste Lite Apples,T-00045-Y,$0.93,0.38,1.71,False,0
46,Value Plus  ,Value Plus Value Pack Sour Cream,VP-00046-N,2.56,1.36,1.57,0,0.0
47,Silver Creek,Silver Creek Deluxe Sour Cream,SC-00047-G,1.75,0.68,,1.0,0
48,Heritage Foods,Heritage Foods Jumbo Tea,HF-00048-M,7.4,2.69,2.0,1.0,0.0
49,Heritage Foods,Heritage Foods Gourmet Ground Beef,HF-00049-V,10.93,6.74,2.85,,0
50,Farmhouse Select,Farmhouse Select Fresh Frozen Fries,FS-00050-H,3.17,1.95,2.82,1,0
51,Natures Best,Natures Best Original Aluminum Foil,NB-00051-L,6.63,2.53,2.64,,0
52,Heritage Foods,Heritage Foods Traditional Trash Bags,HF-00052-S,7.79,5.32,2.13,0,0
53,Farmhouse Select,Farmhouse Select Extra Crunchy Sports Drink,FS-00053-D,5.69,2.41,2.42,0,False
54,Urban Pantry,Urban Pantry Organic Donuts,UP-00054-Y,3.37,1.66,0.93,0,0
55,GreenLeaf,GreenLeaf Lite Shampoo,G-00055-D,$8.14,5.5,0.65,False,0.0
56,Family Choice,Family Choice Reduced Fat Crab Legs,FC-00056-P,6.67,2.79,0.9,True,N
57,Wholesome Co,Wholesome Co Gourmet Napkins,WC-00057-A,6.98,4.41,2.79,0,0
58,Sunrise Organics,Sunrise Organics Low Sodium Trash Bags,SO-00058-K,7.02,3.43,2.02,yes,0
59,TrueTaste,TrueTaste Gourmet Donuts,T-00059-C,2.85,1.82,1.31,1,No
60,EcoHarvest,EcoHarvest Extra Crunchy TV Dinner,E-00060-A,4.73,3.08,2.03,0,0
61,Sunrise Organics,Sunrise Organics Deluxe Coffee,SO-00061-O,2.28,1.03,1.58,1,0
62,Meadowbrook,Meadowbrook Mini Toothpaste,M-00062-J,8.4,5.73,0.58,1,0.0
63,truetaste,TrueTaste Classic Tortilla Chips,T-00063-O,3.9,1.47,0.45,True,1
64,Heritage Foods,Heritage Foods Traditional Bananas,HF-00064-V,2.16,1.34,1.43,Y,No
65,pREMIUM cHOICE,Premium Choice Jumbo Crackers,PC-00065-P,3.97,2.46,0.79,1,0
66,GreenLeaf,GreenLeaf Extra Crunchy Paper Towels,G-00066-G,7.79,3.75,1.63,1,
67,Northern Mills,Northern Mills Gourmet Butter,NM-00067-G,2.12,1.46,1.11,1,1.0
68,coastal fresh,Coastal Fresh Fresh Sports Drink,CF-00068-S,2.37,0.94,2.42,1,0
69,Urban Pantry,Urban Pantry Classic Frozen Fries,UP-00069-F,6.35,3.93,1.56,True,False
70,Coastal Fresh,Coastal Fresh Family Size Soda,CF-00070-L,5.48,2.18,0.93,1,0
71,Hilltop Farms,Hilltop Farms Value Pack Aluminum Foil,HF-00071-D,3.65,1.49,0.85,1,0
72,Family Choice,Family Choice Classic Apples,FC-00072-U,1.14,0.65,1.54,0.0,0
73,Meadowbrook,Meadowbrook Low Sodium Salmon Fillet,M-00073-Z,14.72,8.6,,0,0
74,BluePeak,BluePeak Value Pack Tilapia,B-00074-Y,14.63,5.71,,0,0
75,Crystal Springs,Crystal Springs Lite Tilapia,CS-00075-F,11.34,6.61,1.64,False,False
76,Coastal Fresh,Coastal Fresh Deluxe Vitamins,CF-00076-N,2.21,1.33,0.62,No,0
77,FARMHOUSE SELECT,Farmhouse Select Reduced Fat Vitamins,FS-00077-Z,2.85,1.13,0.5,N,no
78,Sunrise Organics,Sunrise Organics Classic Apples,SO-00078-X,$2.88,1.87,0.51,N,0
79,Natures Best,Natures Best Reduced Fat Toothpaste,NB-00079-T,10.79,6.37,0.47,1,0.0
80,Sunrise Organics,Sunrise Organics Extra Crunchy Vitamins,SO-00080-D,10.97,4.29,0.24,0,0
81,BluePeak,BluePeak Jumbo Sour Cream,B-00081-P,2.51,1.55,1.13,N,0
82,Wholesome Co  ,Wholesome Co Classic Tilapia,WC-00082-T,11.63,7.08,1.95,0,No
83,Hilltop Farms,Hilltop Farms Reduced Fat Yogurt,HF-00083-M,6.3,3.78,1.96,0,0
84,Coastal Fresh,Coastal Fresh Mini Bottled Water,CF-00084-H,3.14,1.18,1.18,1,0
85,Heritage Foods,Heritage Foods Fresh Ice Cream,HF-00085-C,3.5,2.13,1.4,yes,0
86,Prime Select,Prime Select Reduced Fat Bacon,PS-00086-X,7.27,4.59,2.41,0,0
87,Everyday Basics,Everyday Basics Jumbo Bread,EB-00087-H,2.98,1.84,0.62,1,0
88,Pure Origins,Pure Origins Mini Aluminum Foil,PO-00088-Z,4.88,1.78,1.29,1,0
89,Meadowbrook,Meadowbrook Value Pack Croissants,M-00089-R,3.82,2.2,0.99,N,False
90,crystal springs  ,Crystal Springs Traditional Ice Cream,CS-00090-O,3.39,1.88,1.17,0,No
91,Everyday Basics,Everyday Basics Traditional Chicken Breast,EB-00091-S,9.6,4.71,1.81,0,no
92,American Classic,American Classic Reduced Fat Chicken Breast,AC-00092-V,11.31,4.36,1.27,No,0
93,  Farmhouse Select  ,Farmhouse Select Original Ice Cream,FS-00093-U,3.35,1.72,0.95,1,0
94,Heritage Foods,Heritage Foods Fresh Butter,HF-00094-L,1.78,0.84,2.0,0,1
95,Family Choice,Family Choice Gourmet Juice,FC-00095-P,$1.09,,1.64,1,N
96,TrueTaste,TrueTaste Family Size Tuna,T-00096-D,7.41,2.73,,1,no
97,GreenLeaf,GreenLeaf Mini Bottled Water,G-00097-U,2.97,1.07,2.39,1,0
98,Prime Select,Prime Select Fresh Bottled Water,PS-00098-K,7.21,4.84,2.34,1,0
99,Sunrise Organics,Sunrise Organics Lite Apples,SO-00099-V,2.61,1.77,2.28,1,0
100,Silver Creek,Silver Creek Lite Carrots,SC-00100-S,0.95,0.63,0.73,,N
101,Hilltop Farms,Hilltop Farms Gourmet Rolls,HF-00101-Y,$5.17,2.92,0.98,0,0
102,Prime Select,Prime Select Fresh Carrots,PS-00102-R,3.99,1.62,1.53,0,0
103,Crystal Springs,Crystal Springs Reduced Fat Frozen Fries,CS-00103-R,3.86,1.96,2.88,1,0
104,Golden Harvest,Golden Harvest Deluxe Cookies,GH-00104-T,3.15,1.6,0.55,1,1
105,GreenLeaf,GreenLeaf Organic Napkins,G-00105-N,8.05,5.08,1.55,1,0
106,Wholesome Co,Wholesome Co Fresh Coffee,WC-00106-J,3.26,1.87,0.77,0,0
107,Premium Choice,Premium Choice Classic Cream,PC-00107-Y,4.5,1.63,1.66,0,0
108,Family Choice,Family Choice Original Tea,FC-00108-E,5.95,2.25,1.01,1.0,0.0
109,Crystal Springs,Crystal Springs Family Size Frozen Pizza,CS-00109-U,4.01,2.25,2.89,0.0,0.0
110,Premium Choice,Premium Choice Extra Crunchy Bagels,PC-00110-I,2.81,0.99,0.96,True,0
111,farmhouse select,Farmhouse Select Traditional Frozen Pizza,FS-00111-X,2.49,0.9,1.76,1,0
112,Coastal Fresh,Coastal Fresh Value Pack Coffee,CF-00112-Y,$7.28,4.17,1.3,1,False
113,Hilltop Farms,Hilltop Farms Lite Dish Soap,HF-00113-S,3.14,1.79,1.3,1,0.0
114,Silver Creek,Silver Creek Classic Lotion,SC-00114-C,10.76,6.31,0.82,1,0
115,GreenLeaf,GreenLeaf Value Pack Toothpaste,G-00115-F,12.47,7.93,0.72,0,0
116,Natures Best,Natures Best Reduced Fat Bagels,NB-00116-D,4.27,2.71,0.84,1,No
117,Prime Select,Prime Select Value Pack Salmon Fillet,PS-00117-X,15.73,6.85,1.31,1,no
118,Wholesome Co,Wholesome Co Organic Pretzels,WC-00118-L,2.2,1.32,0.9,1,0
119,Meadowbrook,Meadowbrook Gourmet Frozen Pizza,M-00119-S,5.53,2.12,2.98,1,1
120,Urban Pantry,Urban Pantry Jumbo Chicken Breast,UP-00120-L,11.56,7.88,1.21,0,0
121,Pure Origins,Pure Origins Lite Trash Bags,PO-00121-L,7.18,3.04,0.84,yes,0
122,TrueTaste,TrueTaste Jumbo Shrimp,T-00122-Z,10.47,3.87,1.82,1,No
