return_date,product_id,store_id,quantity
1998-08-27,206,4,3.0
1998/08/04,1224,6,3.0
1998/12/17,295,5,2.0
28-09-1998,231,11,
18 Sep 1998,295,8,2.0
1998-10-23,856,18,3.0
1998-09-06,785,4,3.0
02 Sep 1998,809,15,2.0
1998-09-16,48,18,3.0
24-05-1998,556,14,4.0
26-09-1997,1295,1,3.0
1998/12/12,486,10,4.0
1998/03/22,325,18,1.0
1997/06/12,220,4,3.0
02/14/1998,1426,2,2.0
1998-12-11,185,18,1.0
08/20/1998,700,15,2.0
02-01-1998,1557,3,5.0
1997-05-29,754,4,1.0
1998/09/14,1545,18,
04 Apr 1998,246,14,1.0
27-05-1998,672,8,1.0
1998-05-01,754,6,4.0
1998/05/17,544,18,5.0
1998-07-24,1457,1,2.0
27 Jul 1997,825,8,1.0
1998/08/05,840,9,4.0
21 Feb 1998,1344,2,1.0
06 Jan 1998,851,19,4.0
1998-08-15,864,14,1.0
,149,17,4.0
05/07/1998,288,21,1.0
28 Dec 1997,625,4,5.0
02-03-1998,1112,5,5.0
18-02-1997,281,12,4.0
1998-11-05,849,4,4.0
1998-04-05,20,2,5.0
1997-12-11,1153,14,1.0
1998-06-11,840,5,1.0
21 Mar 1998,1224,3,2.0
1997/02/08,20,3,5.0
1998-11-28,637,16,3.0
11/24/1998,1407,10,1.0
1998-08-28,556,22,3.0
08/22/1997,1380,14,2.0
13-05-1997,1139,7,4.0
1997/12/30,562,5,2.0
1997-05-23,760,15,5.0
25 Jan 1999,1139,11,4.0
1998-09-17,231,8,2.0
1997-12-12,300,14,3.0
22-07-1998,123,18,2.0
08 Apr 1998,1426,7,2.0
1997/09/11,1139,8,1.0
1998-06-15,764,15,1.0
1997/07/31,850,15,5.0
27-03-1997,231,12,3.0
21-01-1999,355,2,4.0
1998-10-24,1492,7,1.0
01/17/1998,1095,4,3.0
1998-07-20,1531,11,3.0
1998-11-26,1139,13,3.0
14-10-1998,825,18,3.0
1998/10/19,267,3,1.0
1998-07-15,902,22,3.0
06/09/1998,432,9,5.0
1998/12/26,624,8,5.0
1999/01/10,1382,9,1.0
26-04-1998,592,5,5.0
1997/03/12,736,7,1.0
1998/02/28,295,14,1.0
1998/04/14,231,11,1.0
1999/02/03,965,11,3.0
07/28/1997,267,9,4.0
19-10-1998,578,19,4.0
13-03-1998,754,16,4.0
1999-01-04,1220,10,5.0
04-09-1998,231,14,3.0
19-10-1998,901,18,4.0
1998-04-19,878,7,1.0
07/04/1998,795,7,4.0
25 Dec 1998,1397,6,3.0
04-05-1998,672,3,3.0
19 Dec 1998,858,21,1.0
1997/08/31,262,3,3.0
04/13/1997,215,8,5.0
,535,18,5.0
1998/09/27,1312,18,2.0
1999-02-03,699,17,2.0
21-11-1998,734,2,4.0
1998-11-16,1001,11,2.0
1997/09/11,901,5,1.0
20 Sep 1997,1172,10,5.0
13 Oct 1997,1190,11,4.0
01/14/1999,1552,1,1.0
1999-01-10,809,9,3.0
14-04-1997,1367,5,4.0
05 Feb 1999,300,11,3.0
1998-02-05,1583,11,
23 Mar 1997,109,11,
20 Feb 1998,738,5,4.0
,474,20,3.0
05/28/1998,1022,3,1.0
1999-01-08,295,13,4.0
1998-10-09,851,8,4.0
1998-10-17,20,18,1.0
01-01-1999,67,5,1.0
1998-11-04,689,11,
05/08/1998,535,23,2.0
24-08-1998,769,4,1.0
1998/08/03,1203,22,
11/08/1997,1196,14,4.0
18 Feb 1998,215,1,2.0
1997-07-06,750,9,2.0
18 Jan 1999,864,22,2.0
24 May 1998,754,11,5.0
1998-08-27,994,24,4.0
04-02-1999,246,18,1.0
01-01-1999,215,18,2.0
29 Apr 1998,1457,10,3.0
1997/03/18,578,6,4.0
08/08/1998,802,22,2.0
05/24/1998,176,24,5.0
08 Feb 1998,246,21,2.0
1998/03/17,1172,13,1.0
16-07-1998,317,21,2.0
1998/07/04,1397,15,1.0
1998/12/28,802,9,3.0
1998/03/12,62,5,1.0
09-03-1998,1066,22,1.0
1998-07-21,48,5,4.0
1997-07-07,1420,8,1.0
07/24/1997,1293,7,2.0
1998-08-21,231,24,4.0
05/16/1998,198,11,2.0
21-05-1998,355,23,2.0
18 Apr 1998,413,19,4.0
1998/11/07,675,20,5.0
22 Jun 1997,1230,11,2.0
27 Jun 1997,85,7,5.0
18 May 1998,231,14,1.0
26 Feb 1998,1301,12,4.0
25 Aug 1998,426,7,3.0
11/11/1997,198,20,2.0
22 Mar 1997,231,8,1.0
1997/05/31,1229,9,5.0
01 May 1998,1421,4,4.0
05/29/1998,1426,19,5.0
1998/06/15,962,2,2.0
1997-12-16,246,17,1.0
17-05-1998,1402,4,1.0
1997-02-20,26,8,5.0
01/12/1999,1453,13,2.0
09/24/1998,176,20,1.0
01/07/1998,231,3,5.0
1997-06-26,753,11,3.0
11/10/1998,543,19,4.0
1998/01/12,843,3,1.0
03/14/1998,864,6,4.0
19-12-1998,1135,14,3.0
1997/12/08,149,14,3.0
1999/01/01,300,24,3.0
1998-01-23,206,11,2.0
07 Jan 1999,1224,9,1.0
05-12-1997,1212,20,3.0
01-01-1999,711,4,
12-08-1997,1451,1,1.0
01 Feb 1999,1151,24,4.0
01/09/1999,383,9,5.0
1998/12/27,581,10,1.0
02 Jun 1998,500,5,
10/20/1998,58,6,4.0
1999-01-05,130,18,4.0
29 Nov 1998,802,5,4.0
15 Jun 1998,1177,11,5.0
1997/09/03,1102,10,4.0
13-12-1997,1303,5,2.0
1999/01/13,1452,10,1.0
04 Oct 1998,1318,17,2.0
02-02-1998,1017,3,3.0
08-07-1998,1426,13,3.0
18-05-1998,1124,12,2.0
1998/12/18,855,11,4.0
17 Aug 1998,332,8,3.0
11/12/1997,1153,15,2.0
07/19/1998,970,14,1.0
1998/12/19,209,5,1.0
25-12-1998,378,4,1.0
22-05-1998,524,5,5.0
28 May 1997,1469,2,4.0
28 Jul 1998,1154,3,4.0
1998-12-01,1116,12,1.0
12/15/1998,231,9,1.0
28-07-1997,345,17,4.0
15-01-1999,775,23,5.0
25 Feb 1998,1064,18,1.0
05-08-1998,76,23,5.0
1998-07-19,1251,7,1.0
1997-04-24,151,11,2.0
01-12-1998,1178,20,4.0
14 Aug 1997,287,18,2.0
03-04-1998,149,6,3.0
25-09-1998,348,18,1.0
27 Mar 1998,48,18,
08/23/1997,1388,14,4.0
19 Nov 1998,1537,20,1.0
27-09-1998,592,18,4.0
1997/11/09,1293,18,4.0
03-08-1998,464,10,1.0
1997-10-05,20,3,3.0
14-12-1998,1112,2,4.0
02-06-1998,592,10,1.0
01-02-1998,1177,4,3.0
11/06/1997,149,3,3.0
04-06-1998,1299,3,2.0
03-03-1998,1165,5,3.0
1998-04-17,1139,11,2.0
1998-04-15,48,3,4.0
12/16/1998,1281,18,1.0
1998/10/26,383,3,3.0
1998/06/23,20,3,5.0
07-12-1998,257,14,1.0
1997-08-05,135,12,1.0
10/01/1997,496,15,4.0
1998-08-23,556,14,4.0
1997-07-01,307,4,4.0
13 Jan 1999,515,15,5.0
23-11-1997,151,5,4.0
15 May 1997,1487,14,1.0
1997/08/25,1153,14,2.0
1997-04-14,215,14,1.0
25 Apr 1998,806,7,3.0
1998/04/27,625,12,3.0
07/17/1998,592,3,3.0
1997-12-01,965,19,5.0
29 Dec 1998,613,24,3.0
1998/05/07,287,23,4.0
03 Feb 1998,718,15,1.0
1998-12-25,998,18,1.0
27-03-1998,1172,18,5.0
21 Jul 1997,1064,14,4.0
10/21/1998,1406,7,5.0
21-12-1997,20,6,2.0
1998/03/12,578,8,5.0
1998/05/13,295,18,4.0
31-12-1998,169,8,2.0
16-07-1998,365,13,1.0
14 May 1998,442,5,1.0
30 Nov 1998,391,19,5.0
08/06/1998,231,3,3.0
08/14/1998,293,2,1.0
14-06-1997,1539,15,4.0
10/04/1997,806,8,3.0
07/03/1998,1531,11,2.0
29 Oct 1998,17,4,1.0
08/24/1998,1281,8,5.0
11/21/1998,807,12,
1998-05-18,1380,3,
05-08-1997,535,13,2.0
1998/11/27,531,3,2.0
17 Jun 1997,837,7,5.0
22 Nov 1998,48,7,2.0
1998-05-16,339,22,3.0
1997/10/31,149,14,4.0
30 Dec 1998,231,11,4.0
1998/09/07,1283,19,1.0
30-07-1997,313,4,1.0
1997/02/08,618,11,2.0
16 Apr 1997,385,7,5.0
02-12-1998,802,22,3.0
1998-12-17,14,24,3.0
23-08-1998,272,20,4.0
1998-06-21,62,3,4.0
1997/03/02,212,3,2.0
29-07-1998,5,22,4.0
18 Nov 1998,1382,15,3.0
1999-02-04,287,18,1.0
1998/11/05,48,14,1.0
