transaction_date,stock_date,product_id,customer_id,store_id,quantity
30-07-1997,1997-07-29,667,1188.0,4,3.0
1997/08/19,08/22/1997,518,878.0,1,4.0
01-08-1997,24-07-1997,1408,9678.0,5,2.0
25-12-1997,19 Dec 1997,1426,8903.0,13,2.0
1997-09-06,09/02/1997,1548,8283.0,7,2.0
20 Aug 1997,08/10/1997,1017,1581.0,3,5.0
05/12/1997,08-05-1997,20,8050.0,10,2.0
08/15/1997,12 Aug 1997,54,9643.0,11,4.0
1997/07/16,07 Jul 1997,231,1059.0,14,3.0
04-09-1997,1997-08-30,1426,1568.0,4,4.0
12/14/1997,13 Dec 1997,231,313.0,5,2.0
1997-04-26,21 Apr 1997,1106,1772.0,11,4.0
1997-05-21,1997-05-18,592,8904.0,10,1.0
20-06-1997,12 Jun 1997,764,7111.0,13,5.0
06-05-1997,05/02/1997,223,5070.0,5,2.0
1997-06-06,05/29/1997,1380,8886.0,1,3.0
12/16/1997,14 Dec 1997,215,2887.0,7,3.0
1997/06/15,06/12/1997,595,8537.0,3,2.0
1997/11/06,31 Oct 1997,1134,8461.0,20,3.0
1997/01/24,1997-01-22,448,9160.0,13,2.0
17 May 1997,05/15/1997,1104,5184.0,10,1.0
10/11/1997,1997/10/06,198,8180.0,11,2.0
11-07-1997,1997/07/07,825,1710.0,8,2.0
04-12-1997,26 Nov 1997,606,6853.0,15,4.0
05-07-1997,1997-06-28,1426,201.0,4,1.0
09-09-1997,1997/09/08,231,9678.0,11,2.0
26 Aug 1997,08/19/1997,246,2789.0,10,2.0
1997/08/30,20 Aug 1997,1380,7386.0,8,1.0
1997-09-22,09/14/1997,48,8387.0,4,2.0
07/31/1997,1997-07-29,1552,4728.0,5,5.0
1997/04/05,31-03-1997,383,6236.0,8,4.0
08-02-1997,02/07/1997,449,5624.0,13,4.0
1997/04/28,26-04-1997,855,7366.0,9,1.0
1997/02/23,22 Feb 1997,1089,5821.0,9,
04-03-1997,02/26/1997,809,7269.0,14,1.0
05/10/1997,04/30/1997,901,8388.0,5,3.0
29 Aug 1997,28 Aug 1997,180,1992.0,15,3.0
03-06-1997,30 May 1997,277,2427.0,6,2.0
1997-11-06,01-11-1997,965,10217.0,5,4.0
23 Dec 1997,18-12-1997,244,9626.0,10,1.0
30-05-1997,27 May 1997,347,544.0,5,1.0
22 Apr 1997,1997-04-20,636,9678.0,4,2.0
1997-10-05,10/02/1997,965,3374.0,19,2.0
08/22/1997,08/13/1997,231,1679.0,7,2.0
04-11-1997,27 Oct 1997,1533,8636.0,18,2.0
06-09-1997,1997-09-05,681,936.0,14,1.0
05/09/1997,05 May 1997,563,8459.0,8,4.0
12/09/1997,04 Dec 1997,777,8481.0,17,6.0
1997/08/22,08/14/1997,1466,2006.0,13,2.0
1997/10/17,1997/10/13,527,6921.0,12,3.0
29 Sep 1997,22-09-1997,549,6712.0,3,2.0
1997-11-04,1997-10-31,1051,9678.0,6,2.0
1997/10/31,1997/10/28,28,7008.0,18,2.0
1997-06-27,1997-06-17,952,4959.0,3,2.0
1997/01/22,01/21/1997,377,5081.0,4,1.0
22 Jul 1997,1997/07/16,293,2138.0,11,4.0
1997/12/05,11/25/1997,934,4963.0,19,3.0
1997-03-17,09 Mar 1997,332,9548.0,9,3.0
1997/11/07,10/28/1997,1553,1881.0,5,
1997/09/22,13 Sep 1997,581,9160.0,11,4.0
1997/10/12,10/09/1997,1371,2954.0,14,2.0
1997-04-15,04/11/1997,458,8493.0,9,2.0
12-02-1997,02/10/1997,621,9417.0,2,6.0
05 May 1997,05/02/1997,278,8752.0,12,1.0
1997/09/09,08/30/1997,864,,13,2.0
19-06-1997,1997/06/15,1457,4098.0,5,1.0
30 Apr 1997,04/20/1997,1150,6236.0,10,3.0
1997-06-22,1997-06-16,809,6380.0,9,4.0
21-10-1997,10/18/1997,809,4959.0,8,1.0
1997/04/30,1997/04/26,1452,1549.0,14,4.0
12 Aug 1997,08 Aug 1997,975,7813.0,3,1.0
25-06-1997,06/15/1997,750,2138.0,11,2.0
30-12-1997,12/26/1997,117,2438.0,9,4.0
25 Nov 1997,19 Nov 1997,675,4660.0,16,2.0
10/18/1997,1997-10-09,1147,2035.0,11,3.0
14-08-1997,04-08-1997,1172,4838.0,9,2.0
1997/06/22,1997-06-16,392,7926.0,15,1.0
1997/10/01,09/23/1997,762,10250.0,3,1.0
22-11-1997,18-11-1997,1177,1881.0,10,1.0
