return_date,product_id,store_id,quantity
1998-08-27,206,4,3.0
1998-08-04,1224,6,3.0
1998-12-17,295,5,2.0
1998-09-18,295,8,2.0
1998-10-23,856,18,3.0
1998-09-06,785,4,3.0
1998-09-02,809,15,2.0
1998-09-16,48,18,3.0
1998-05-24,556,14,4.0
1997-09-26,1295,1,3.0
1998-12-12,486,10,4.0
1998-03-22,325,18,1.0
1997-06-12,220,4,3.0
1998-02-14,1426,2,2.0
1998-12-11,185,18,1.0
1998-08-20,700,15,2.0
1998-01-02,1557,3,5.0
1997-05-29,754,4,1.0
1998-04-04,246,14,1.0
1998-05-27,672,8,1.0
1998-05-01,754,6,4.0
1998-05-17,544,18,5.0
1998-07-24,1457,1,2.0
1997-07-27,825,8,1.0
1998-08-05,840,9,4.0
1998-02-21,1344,2,1.0
1998-01-06,851,19,4.0
1998-08-15,864,14,1.0
,149,17,4.0
1998-05-07,288,21,1.0
1997-12-28,625,4,5.0
1998-03-02,1112,5,5.0
1997-02-18,281,12,4.0
1998-11-05,849,4,4.0
1998-04-05,20,2,5.0
1997-12-11,1153,14,1.0
1998-06-11,840,5,1.0
1998-03-21,1224,3,2.0
1997-02-08,20,3,5.0
1998-11-28,637,16,3.0
1998-11-24,1407,10,1.0
1998-08-28,556,22,3.0
1997-08-22,1380,14,2.0
1997-05-13,1139,7,4.0
1997-12-30,562,5,2.0
1997-05-23,760,15,5.0
1999-01-25,1139,11,4.0
1998-09-17,231,8,2.0
1997-12-12,300,14,3.0
1998-07-22,123,18,2.0
1998-04-08,1426,7,2.0
1997-09-11,1139,8,1.0
1998-06-15,764,15,1.0
1997-07-31,850,15,5.0
1997-03-27,231,12,3.0
1999-01-21,355,2,4.0
1998-10-24,1492,7,1.0
1998-01-17,1095,4,3.0
1998-07-20,1531,11,3.0
1998-11-26,1139,13,3.0
1998-10-14,825,18,3.0
1998-10-19,267,3,1.0
1998-07-15,902,22,3.0
1998-06-09,432,9,5.0
1998-12-26,624,8,5.0
1999-01-10,1382,9,1.0
1998-04-26,592,5,5.0
1997-03-12,736,7,1.0
1998-02-28,295,14,1.0
1998-04-14,231,11,1.0
1999-02-03,965,11,3.0
1997-07-28,267,9,4.0
1998-10-19,578,19,4.0
1998-03-13,754,16,4.0
1999-01-04,1220,10,5.0
1998-09-04,231,14,3.0
1998-10-19,901,18,4.0
1998-04-19,878,7,1.0
1998-07-04,795,7,4.0
1998-12-25,1397,6,3.0
1998-05-04,672,3,3.0
1998-12-19,858,21,1.0
1997-08-31,262,3,3.0
1997-04-13,215,8,5.0
,535,18,5.0
1998-09-27,1312,18,2.0
1999-02-03,699,17,2.0
1998-11-21,734,2,4.0
1998-11-16,1001,11,2.0
1997-09-11,901,5,1.0
1997-09-20,1172,10,5.0
1997-10-13,1190,11,4.0
1999-01-14,1552,1,1.0
1999-01-10,809,9,3.0
1997-04-14,1367,5,4.0
1999-02-05,300,11,3.0
1998-02-20,738,5,4.0
,474,20,3.0
1998-05-28,1022,3,1.0
1999-01-08,295,13,4.0
1998-10-09,851,8,4.0
1998-10-17,20,18,1.0
1999-01-01,67,5,1.0
1998-05-08,535,23,2.0
1998-08-24,769,4,1.0
1997-11-08,1196,14,4.0
1998-02-18,215,1,2.0
1997-07-06,750,9,2.0
1999-01-18,864,22,2.0
1998-05-24,754,11,5.0
1998-08-27,994,24,4.0
1999-02-04,246,18,1.0
1999-01-01,215,18,2.0
1998-04-29,1457,10,3.0
1997-03-18,578,6,4.0
1998-08-08,802,22,2.0
1998-05-24,176,24,5.0
1998-02-08,246,21,2.0
1998-03-17,1172,13,1.0
1998-07-16,317,21,2.0
1998-07-04,1397,15,1.0
1998-12-28,802,9,3.0
1998-03-12,62,5,1.0
1998-03-09,1066,22,1.0
1998-07-21,48,5,4.0
1997-07-07,1420,8,1.0
1997-07-24,1293,7,2.0
1998-08-21,231,24,4.0
1998-05-16,198,11,2.0
1998-05-21,355,23,2.0
1998-04-18,413,19,4.0
1998-11-07,675,20,5.0
1997-06-22,1230,11,2.0
1997-06-27,85,7,5.0
1998-05-18,231,14,1.0
1998-02-26,1301,12,4.0
1998-08-25,426,7,3.0
1997-11-11,198,20,2.0
1997-03-22,231,8,1.0
1997-05-31,1229,9,5.0
1998-05-01,1421,4,4.0
1998-05-29,1426,19,5.0
1998-06-15,962,2,2.0
1997-12-16,246,17,1.0
1998-05-17,1402,4,1.0
1997-02-20,26,8,5.0
1999-01-12,1453,13,2.0
1998-09-24,176,20,1.0
1998-01-07,231,3,5.0
1997-06-26,753,11,3.0
1998-11-10,543,19,4.0
1998-01-12,843,3,1.0
1998-03-14,864,6,4.0
1998-12-19,1135,14,3.0
1997-12-08,149,14,3.0
1999-01-01,300,24,3.0
1998-01-23,206,11,2.0
1999-01-07,1224,9,1.0
1997-12-05,1212,20,3.0
1997-08-12,1451,1,1.0
1999-02-01,1151,24,4.0
1999-01-09,383,9,5.0
1998-12-27,581,10,1.0
1998-10-20,58,6,4.0
1999-01-05,130,18,4.0
1998-11-29,802,5,4.0
1998-06-15,1177,11,5.0
1997-09-03,1102,10,4.0
1997-12-13,1303,5,2.0
1999-01-13,1452,10,1.0
1998-10-04,1318,17,2.0
1998-02-02,1017,3,3.0
1998-07-08,1426,13,3.0
1998-05-18,1124,12,2.0
1998-12-18,855,11,4.0
1998-08-17,332,8,3.0
1997-11-12,1153,15,2.0
1998-07-19,970,14,1.0
1998-12-19,209,5,1.0
1998-12-25,378,4,1.0
1998-05-22,524,5,5.0
1997-05-28,1469,2,4.0
1998-07-28,1154,3,4.0
1998-12-01,1116,12,1.0
1998-12-15,231,9,1.0
1997-07-28,345,17,4.0
1999-01-15,775,23,5.0
1998-02-25,1064,18,1.0
1998-08-05,76,23,5.0
1998-07-19,1251,7,1.0
1997-04-24,151,11,2.0
1998-12-01,1178,20,4.0
1997-08-14,287,18,2.0
1998-04-03,149,6,3.0
1998-09-25,348,18,1.0
1997-08-23,1388,14,4.0
1998-11-19,1537,20,1.0
1998-09-27,592,18,4.0
1997-11-09,1293,18,4.0
1998-08-03,464,10,1.0
1997-10-05,20,3,3.0
1998-12-14,1112,2,4.0
1998-06-02,592,10,1.0
1998-02-01,1177,4,3.0
1997-11-06,149,3,3.0
1998-06-04,1299,3,2.0
1998-03-03,1165,5,3.0
1998-04-17,1139,11,2.0
1998-04-15,48,3,4.0
1998-12-16,1281,18,1.0
1998-10-26,383,3,3.0
1998-06-23,20,3,5.0
1998-12-07,257,14,1.0
1997-08-05,135,12,1.0
1997-10-01,496,15,4.0
1998-08-23,556,14,4.0
1997-07-01,307,4,4.0
1999-01-13,515,15,5.0
1997-11-23,151,5,4.0
1997-05-15,1487,14,1.0
1997-08-25,1153,14,2.0
1997-04-14,215,14,1.0
1998-04-25,806,7,3.0
1998-04-27,625,12,3.0
1998-07-17,592,3,3.0
1997-12-01,965,19,5.0
1998-12-29,613,24,3.0
1998-05-07,287,23,4.0
1998-02-03,718,15,1.0
1998-12-25,998,18,1.0
1998-03-27,1172,18,5.0
1997-07-21,1064,14,4.0
1998-10-21,1406,7,5.0
1997-12-21,20,6,2.0
1998-03-12,578,8,5.0
1998-05-13,295,18,4.0
1998-12-31,169,8,2.0
1998-07-16,365,13,1.0
1998-05-14,442,5,1.0
1998-11-30,391,19,5.0
1998-08-06,231,3,3.0
1998-08-14,293,2,1.0
1997-06-14,1539,15,4.0
1997-10-04,806,8,3.0
1998-07-03,1531,11,2.0
1998-10-29,17,4,1.0
1998-08-24,1281,8,5.0
1997-08-05,535,13,2.0
1998-11-27,531,3,2.0
1997-06-17,837,7,5.0
1998-11-22,48,7,2.0
1998-05-16,339,22,3.0
1997-10-31,149,14,4.0
1998-12-30,231,11,4.0
1998-09-07,1283,19,1.0
1997-07-30,313,4,1.0
1997-02-08,618,11,2.0
1997-04-16,385,7,5.0
1998-12-02,802,22,3.0
1998-12-17,14,24,3.0
1998-08-23,272,20,4.0
1998-06-21,62,3,4.0
1997-03-02,212,3,2.0
1998-07-29,5,22,4.0
1998-11-18,1382,15,3.0
1999-02-04,287,18,1.0
1998-11-05,48,14,1.0
1997-03-29,1304,2,3.0
1998-06-23,1131,5,4.0
1997-11-27,1457,4,1.0
1998-05-19,785,2,5.0
1997-04-09,198,9,2.0
1998-04-14,215,12,1.0
1998-10-21,869,15,1.0
1998-06-13,231,10,3.0
1997-09-06,487,10,4.0
1997-05-21,382,5,3.0
1998-05-27,564,18,2.0
1998-11-01,1546,18,1.0
1998-11-19,1509,2,3.0
1999-02-04,564,14,1.0
1998-08-21,1528,11,2.0
1998-01-12,678,11,1.0
