transaction_date,stock_date,product_id,customer_id,store_id,quantity
30-07-1997,29-07-1997,667,1188,4,3
19-08-1997,22-08-1997,518,878,1,4
01-08-1997,24-07-1997,1408,9678,5,2
25-12-1997,19-12-1997,1426,8903,13,2
06-09-1997,02-09-1997,1548,8283,7,2
20-08-1997,10-08-1997,1017,1581,3,5
12-05-1997,08-05-1997,20,8050,10,2
15-08-1997,12-08-1997,54,9643,11,4
16-07-1997,07-07-1997,231,1059,14,3
04-09-1997,30-08-1997,1426,1568,4,4
14-12-1997,13-12-1997,231,313,5,2
26-04-1997,21-04-1997,1106,1772,11,4
21-05-1997,18-05-1997,592,8904,10,1
20-06-1997,12-06-1997,764,7111,13,5
06-05-1997,02-05-1997,223,5070,5,2
06-06-1997,29-05-1997,1380,8886,1,3
16-12-1997,14-12-1997,215,2887,7,3
15-06-1997,12-06-1997,595,8537,3,2
06-11-1997,31-10-1997,1134,8461,20,3
24-01-1997,22-01-1997,448,9160,13,2
17-05-1997,15-05-1997,1104,5184,10,1
11-10-1997,06-10-1997,198,8180,11,2
11-07-1997,07-07-1997,825,1710,8,2
04-12-1997,26-11-1997,606,6853,15,4
05-07-1997,28-06-1997,1426,201,4,1
09-09-1997,08-09-1997,231,9678,11,2
26-08-1997,19-08-1997,246,2789,10,2
30-08-1997,20-08-1997,1380,7386,8,1
22-09-1997,14-09-1997,48,8387,4,2
31-07-1997,29-07-1997,1552,4728,5,5
05-04-1997,31-03-1997,383,6236,8,4
08-02-1997,07-02-1997,449,5624,13,4
28-04-1997,26-04-1997,855,7366,9,1
23-02-1997,22-02-1997,1089,5821,9,
04-03-1997,26-02-1997,809,7269,14,1
10-05-1997,30-04-1997,901,8388,5,3
29-08-1997,28-08-1997,180,1992,15,3
03-06-1997,30-05-1997,277,2427,6,2
06-11-1997,01-11-1997,965,10217,5,4
23-12-1997,18-12-1997,244,9626,10,1
30-05-1997,27-05-1997,347,544,5,1
22-04-1997,20-04-1997,636,9678,4,2
05-10-1997,02-10-1997,965,3374,19,2
22-08-1997,13-08-1997,231,1679,7,2
04-11-1997,27-10-1997,1533,8636,18,2
06-09-1997,05-09-1997,681,936,14,1
09-05-1997,05-05-1997,563,8459,8,4
09-12-1997,04-12-1997,777,8481,17,6
22-08-1997,14-08-1997,1466,2006,13,2
17-10-1997,13-10-1997,527,6921,12,3
29-09-1997,22-09-1997,549,6712,3,2
04-11-1997,31-10-1997,1051,9678,6,2
31-10-1997,28-10-1997,28,7008,18,2
27-06-1997,17-06-1997,952,4959,3,2
22-01-1997,21-01-1997,377,5081,4,1
22-07-1997,16-07-1997,293,2138,11,4
05-12-1997,25-11-1997,934,4963,19,3
17-03-1997,09-03-1997,332,9548,9,3
07-11-1997,28-10-1997,1553,1881,5,
22-09-1997,13-09-1997,581,9160,11,4
12-10-1997,09-10-1997,1371,2954,14,2
15-04-1997,11-04-1997,458,8493,9,2
12-02-1997,10-02-1997,621,9417,2,6
05-05-1997,02-05-1997,278,8752,12,1
09-09-1997,30-08-1997,864,,13,2
19-06-1997,15-06-1997,1457,4098,5,1
30-04-1997,20-04-1997,1150,6236,10,3
22-06-1997,16-06-1997,809,6380,9,4
21-10-1997,18-10-1997,809,4959,8,1
30-04-1997,26-04-1997,1452,1549,14,4
12-08-1997,08-08-1997,975,7813,3,1
25-06-1997,15-06-1997,750,2138,11,2
30-12-1997,26-12-1997,117,2438,9,4
25-11-1997,19-11-1997,675,4660,16,2
18-10-1997,09-10-1997,1147,2035,11,3
14-08-1997,04-08-1997,1172,4838,9,2
22-06-1997,16-06-1997,392,7926,15,1
01-10-1997,23-09-1997,762,10250,3,1
22-11-1997,18-11-1997,1177,1881,10,1
15-03-1997,08-03-1997,1444,7366,2,2
23-01-1997,17-01-1997,754,5081,15,2
13-07-1997,09-07-1997,295,8007,10,4
05-05-1997,03-05-1997,611,6723,5,4
03-12-1997,29-11-1997,287,9122,18,3
03-05-1997,29-04-1997,809,5391,10,2
10-12-1997,05-12-1997,876,10217,7,4
28-07-1997,21-07-1997,1250,2725,10,3
21-11-1997,14-11-1997,754,9678,7,1
11-07-1997,05-07-1997,1145,9272,14,3
16-10-1997,11-10-1997,93,5624,4,3
26-12-1997,16-12-1997,1225,6862,5,3
25-03-1997,21-03-1997,426,4963,11,4
01-05-1997,30-04-1997,703,4963,11,1
02-08-1997,27-07-1997,556,8386,4,3
15-06-1997,11-06-1997,348,676,8,3
12-11-1997,05-11-1997,1426,,5,3
12-12-1997,08-12-1997,845,3746,5,1
22-08-1997,16-08-1997,332,10097,18,1
12-03-1997,10-03-1997,750,3566,14,2
15-06-1997,11-06-1997,556,1413,1,2
20-05-1997,10-05-1997,266,4677,11,5
18-09-1997,12-09-1997,450,8187,11,3
29-04-1997,19-04-1997,278,,10,1
18-02-1997,13-02-1997,717,8537,3,2
31-07-1997,28-07-1997,762,5081,11,2
09-05-1997,06-05-1997,1192,1902,5,3
26-07-1997,19-07-1997,1172,2219,14,6
04-06-1997,26-05-1997,709,8537,7,4
03-11-1997,31-10-1997,1380,2006,7,4
01-05-1997,22-04-1997,890,5165,8,3
22-10-1997,19-10-1997,464,2723,20,2
05-03-1997,26-02-1997,1295,,8,3
07-11-1997,03-11-1997,778,4042,7,4
31-12-1997,28-12-1997,1139,9770,13,4
10-05-1997,02-05-1997,1359,5391,13,4
31-12-1997,29-12-1997,923,6400,22,2
09-09-1997,07-09-1997,215,830,9,5
21-08-1997,18-08-1997,1492,2312,11,4
30-04-1997,25-04-1997,530,4959,14,3
28-09-1997,23-09-1997,1177,4989,15,1
09-07-1997,03-07-1997,287,385,9,3
29-08-1997,28-08-1997,878,7111,10,3
20-07-1997,17-07-1997,624,8286,5,2
07-11-1997,01-11-1997,1378,4677,7,
06-08-1997,05-08-1997,231,7650,10,3
31-05-1997,25-05-1997,1517,2485,14,3
25-05-1997,17-05-1997,1520,1396,12,
17-08-1997,08-08-1997,176,6380,7,3
23-12-1997,19-12-1997,900,2734,3,4
27-02-1997,19-02-1997,1058,2687,8,1
12-01-1997,04-01-1997,313,8905,11,6
10-07-1997,02-07-1997,1034,2545,4,2
31-03-1997,23-03-1997,835,3746,14,4
08-12-1997,06-12-1997,939,2500,3,3
20-08-1997,10-08-1997,141,8953,13,5
17-11-1997,16-11-1997,48,1413,20,3
16-11-1997,10-11-1997,843,9417,2,1
07-01-1997,03-01-1997,1020,7938,10,4
02-12-1997,26-11-1997,1161,1117,10,5
02-07-1997,22-06-1997,563,5787,14,4
18-04-1997,17-04-1997,879,2545,11,2
29-11-1997,22-11-1997,355,3964,1,2
20-11-1997,15-11-1997,582,9345,4,3
29-11-1997,19-11-1997,220,3751,17,2
03-12-1997,29-11-1997,1558,7378,10,2
21-12-1997,19-12-1997,296,5624,14,5
30-04-1997,27-04-1997,1139,,12,2
25-04-1997,21-04-1997,1348,8537,11,3
,27-01-1997,82,7073,8,1
30-10-1997,25-10-1997,1184,,13,5
14-06-1997,08-06-1997,1224,6862,14,4
27-09-1997,23-09-1997,1105,5644,18,1
12-11-1997,10-11-1997,231,,14,2
30-04-1997,25-04-1997,82,2687,11,1
30-12-1997,24-12-1997,807,4247,2,2
30-08-1997,25-08-1997,1348,6907,18,3
04-12-1997,28-11-1997,692,3151,5,
02-08-1997,23-07-1997,1210,627,13,1
09-12-1997,02-12-1997,1312,2734,3,1
23-07-1997,20-07-1997,556,2734,6,1
14-11-1997,10-11-1997,149,2500,10,1
15-06-1997,14-06-1997,174,6755,3,1
01-01-1997,30-12-1996,1090,8750,14,3
20-10-1997,16-10-1997,1280,6571,5,5
05-03-1997,03-03-1997,448,7696,11,1
18-12-1997,17-12-1997,130,9678,3,4
19-08-1997,17-08-1997,858,5632,3,3
09-06-1997,03-06-1997,720,,8,2
05-11-1997,04-11-1997,1548,986,12,5
19-12-1997,16-12-1997,48,6945,11,2
25-06-1997,16-06-1997,638,7858,11,1
10-10-1997,02-10-1997,562,9678,13,3
02-07-1997,28-06-1997,231,7525,8,2
08-03-1997,04-03-1997,198,4963,1,2
27-03-1997,17-03-1997,556,1864,4,3
25-11-1997,19-11-1997,1421,2573,5,4
13-07-1997,07-07-1997,43,3415,16,4
05-06-1997,26-05-1997,477,3922,11,2
27-05-1997,17-05-1997,231,7525,4,4
05-06-1997,26-05-1997,1397,2873,17,1
15-05-1997,09-05-1997,467,2687,2,2
