transaction_date,stock_date,product_id,customer_id,store_id,quantity
1998-01-05,1997-12-31,383,1210,19,4.0
1998-07-18,1998-07-10,312,9678,5,5.0
1998-12-06,1998-11-26,306,348,12,2.0
1998-11-04,1998-11-03,1421,4227,18,5.0
1998-10-29,1998-10-23,1172,9262,10,3.0
1998-12-19,1998-12-13,1402,6059,1,5.0
1998-09-25,1998-09-21,206,3225,7,3.0
1998-08-27,1998-08-19,48,8318,9,3.0
1998-04-19,1998-04-18,300,4963,23,3.0
1998-06-17,1998-06-09,556,6562,11,4.0
1998-06-23,1998-06-15,20,7380,11,2.0
1998-12-17,1998-12-12,80,10062,1,3.0
1998-05-06,1998-04-27,231,64,3,1.0
1998-07-30,1998-07-21,269,9678,5,2.0
1998-03-07,1998-03-03,1300,10097,12,1.0
1998-09-27,1998-09-26,672,5624,3,1.0
1998-12-07,1998-11-27,1260,6279,18,3.0
1998-03-17,1998-03-13,231,4627,8,3.0
1998-10-13,1998-10-09,300,4667,11,3.0
1998-03-28,1998-03-18,855,7253,2,2.0
1998-09-23,1998-09-21,1321,4627,23,1.0
1998-05-09,1998-05-06,691,6862,3,2.0
1998-11-14,1998-11-08,345,440,14,3.0
1998-04-20,1998-04-15,1224,7650,15,2.0
1998-08-25,1998-08-23,1064,4848,22,1.0
1998-10-14,1998-10-09,405,4760,14,3.0
1998-10-23,1998-10-15,1571,5671,5,2.0
1998-05-24,1998-05-14,1181,445,14,1.0
1998-12-17,1998-12-14,350,2767,17,3.0
1998-07-09,1998-06-29,548,64,4,3.0
1998-05-08,1998-05-04,1355,7513,11,3.0
1998-03-22,1998-03-18,1034,2836,3,3.0
1998-10-04,1998-09-29,754,2786,8,2.0
1998-11-17,1998-11-09,822,7018,22,4.0
1998-05-28,1998-05-27,863,6512,4,2.0
1998-07-10,1998-07-09,450,9417,5,2.0
1998-12-26,1998-12-18,295,2208,2,2.0
1998-04-25,1998-04-19,287,519,24,2.0
1998-12-25,1998-12-15,1452,6862,3,5.0
1998-11-02,1998-10-30,1452,3400,14,4.0
1998-12-03,1998-11-27,514,5287,24,2.0
1998-12-02,1998-12-01,5,7065,5,2.0
1998-06-15,1998-06-07,20,6275,14,2.0
1998-12-29,1998-12-28,647,1273,10,
1998-04-06,1998-04-01,64,2894,2,21.0
1998-01-17,1998-01-10,131,6537,8,2.0
1998-05-29,1998-05-25,1220,7698,15,1.0
1998-09-02,1998-08-24,840,5381,4,1.0
1998-09-19,1998-09-09,950,,3,2.0
1998-08-22,1998-08-20,1348,520,6,2.0
1998-11-27,1998-11-18,231,9417,11,4.0
1998-11-14,1998-11-11,1016,6295,9,1.0
1998-08-03,1998-08-01,953,2301,3,2.0
1998-06-18,1998-06-13,802,625,23,2.0
1998-10-18,1998-10-12,1316,7650,3,5.0
1998-03-22,1998-03-14,1172,676,14,3.0
1998-12-24,1998-12-17,1053,1413,14,1.0
1998-06-17,1998-06-13,563,3001,16,1.0
1998-05-12,1998-05-11,1100,9817,10,3.0
1998-10-10,1998-10-04,609,7131,3,3.0
1998-04-01,1998-03-25,322,6012,21,3.0
1998-12-09,1998-12-03,344,2485,19,2.0
1998-12-04,1998-12-02,754,6514,8,3.0
1998-12-12,1998-12-10,681,7189,10,4.0
1998-12-05,1998-11-30,215,,23,2.0
1998-03-08,1998-02-26,269,1549,5,3.0
1998-05-23,1998-05-20,474,4030,11,4.0
1998-05-22,1998-05-16,157,1413,4,2.0
1998-12-11,1998-12-01,295,494,3,5.0
1998-03-31,1998-03-30,556,,23,3.0
1998-12-10,1998-12-06,1237,985,21,3.0
1998-11-29,1998-11-24,355,2538,3,3.0
1998-04-25,1998-04-23,149,8886,3,3.0
1998-11-30,1998-11-29,171,6512,10,3.0
1998-04-05,1998-03-28,866,7583,9,3.0
1998-08-16,1998-08-06,1151,3999,23,2.0
1998-11-01,1998-10-26,636,4659,18,1.0
1998-11-25,1998-11-22,231,7870,5,3.0
1998-04-08,1998-03-31,864,5162,10,5.0
1998-02-14,1998-02-06,1531,1679,14,2.0
1998-04-28,1998-04-24,231,8506,21,2.0
1998-01-09,1998-01-07,1107,4425,3,1.0
1998-03-25,1998-03-16,802,9439,12,3.0
1998-10-31,1998-10-27,1293,9473,5,2.0
1998-09-01,1998-08-31,364,1168,21,2.0
1998-02-21,1998-02-12,864,9678,4,6.0
1998-12-03,1998-11-26,20,10217,14,2.0
1998-05-15,1998-05-07,182,6537,7,2.0
1998-06-06,1998-05-27,1466,9122,12,3.0
1998-01-05,1997-12-31,1275,3964,8,2.0
1998-03-09,1998-03-08,556,5755,5,2.0
1998-10-06,1998-09-28,813,9678,21,4.0
1998-12-07,1998-11-30,578,10217,10,2.0
1998-09-26,1998-09-22,1272,10197,5,2.0
1998-08-23,1998-08-19,863,5271,8,3.0
1998-12-26,1998-12-20,1105,401,18,1.0
1998-04-01,1998-03-28,109,3413,17,4.0
1998-06-02,1998-05-26,3,7541,23,2.0
1998-07-01,1998-06-29,1258,10133,15,2.0
,1998-08-27,595,5812,11,1.0
1998-10-20,1998-10-16,743,4014,3,2.0
1998-11-21,1998-11-15,300,9678,3,2.0
1998-08-20,1998-08-12,185,8432,18,1.0
1998-05-27,1998-05-24,1426,7650,19,3.0
1998-04-05,1998-04-04,1225,3701,4,1.0
1998-08-15,1998-08-12,1001,1079,12,1.0
1998-09-20,1998-09-15,1148,2182,12,3.0
1998-05-13,1998-05-09,982,4175,3,
1998-08-13,1998-08-09,1295,10133,9,2.0
